Time,T0,T1,T2,T3,T4,T5,T6,T7
8.06,54.75,40.5,34.5,27.75,24.25,24.0,23.75,23.75
8.9,54.75,40.5,34.5,27.75,24.25,24.0,23.75,23.75
9.74,54.75,40.5,34.5,27.75,24.25,24.0,23.75,23.75
10.58,54.75,40.5,34.5,27.75,24.25,24.0,23.75,23.75
11.42,54.75,40.5,34.5,27.75,24.25,24.0,23.75,23.75
12.26,55.0,40.75,34.5,27.75,24.25,24.0,23.75,23.75
13.1,54.75,40.5,34.5,27.75,24.25,24.0,23.75,23.75
13.94,54.75,40.5,34.5,27.75,24.25,24.0,23.75,23.75
14.78,54.75,40.5,34.5,27.75,24.25,24.0,23.75,23.75
15.63,54.75,40.5,34.5,27.75,24.25,24.0,23.75,24.0
16.46,54.75,40.5,34.5,27.75,24.25,24.0,23.75,23.75
17.31,54.75,40.5,34.5,27.75,24.25,24.0,23.75,23.75
18.15,54.75,40.5,34.5,27.75,24.25,24.0,23.75,23.75
18.99,54.75,40.5,34.5,27.75,24.25,24.0,23.75,23.75
19.83,54.75,40.75,34.5,27.75,24.25,24.0,23.75,23.75
20.67,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.75
21.51,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.75
22.35,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.75
23.19,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.5
24.03,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.5
24.87,54.75,40.75,34.5,27.75,24.25,24.0,23.75,23.75
25.71,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.75
26.55,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.5
27.39,54.75,40.75,34.5,27.75,24.25,24.0,23.75,23.75
28.23,54.75,40.75,34.5,27.75,24.25,24.0,23.75,23.75
29.07,54.75,40.75,34.5,27.75,24.25,24.0,23.75,23.75
29.91,54.75,40.75,34.5,27.75,24.25,24.0,23.75,23.75
30.75,54.75,40.75,34.5,27.75,24.25,24.0,23.75,23.75
31.59,54.75,40.75,34.5,27.75,24.25,24.0,23.75,23.75
32.43,54.75,40.75,34.5,27.75,24.25,24.0,23.75,23.75
33.27,54.75,40.75,34.5,27.75,24.25,24.0,23.75,23.75
34.11,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.75
34.95,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.75
35.79,54.75,40.75,34.5,27.75,24.25,24.0,23.75,23.75
36.63,54.75,40.75,34.5,27.75,24.25,24.0,23.75,23.75
37.47,55.0,40.75,34.5,27.75,24.25,24.0,23.75,23.75
38.31,55.0,40.75,34.5,27.75,24.25,24.0,23.75,23.75
39.15,54.75,40.75,34.5,27.75,24.25,24.0,23.75,23.75
40.0,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.75
40.84,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.75
41.68,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.75
42.52,54.75,40.75,34.5,27.75,24.25,24.0,23.75,23.75
43.36,55.0,40.5,34.5,27.75,24.5,24.0,23.75,23.75
44.2,55.0,40.75,34.5,27.75,24.5,24.0,23.75,23.75
45.04,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.75
45.88,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.75
46.72,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.75
47.56,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.75
48.4,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.75
49.24,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.75
50.08,55.0,40.75,34.5,27.75,24.5,24.0,23.75,23.75
50.92,55.0,40.75,34.5,27.75,24.5,24.0,23.75,23.75
51.76,55.0,40.75,34.5,27.75,24.5,24.0,23.75,23.75
52.6,55.0,40.75,34.5,27.75,24.5,24.0,23.75,23.75
53.44,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.75
54.28,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.75
55.12,55.0,40.75,34.5,27.75,24.5,24.0,23.75,23.75
55.96,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.75
56.8,55.0,40.75,34.5,27.75,24.5,24.0,23.75,23.75
57.64,55.0,40.75,34.5,27.75,24.5,24.25,23.75,23.75
58.48,55.0,40.75,34.5,27.75,24.5,24.25,23.75,23.75
59.32,55.0,40.75,34.5,27.75,24.5,24.0,23.75,23.5
60.16,55.0,40.75,34.5,27.75,24.5,24.0,23.75,23.75
61.0,55.0,40.75,34.5,28.0,24.5,24.0,23.75,23.5
61.85,55.0,40.75,34.5,27.75,24.5,24.0,23.75,23.75
62.69,55.0,40.75,34.5,28.0,24.5,24.0,23.75,23.75
63.53,55.0,40.75,34.5,27.75,24.5,24.25,23.75,23.75
64.37,55.0,40.75,34.5,27.75,24.5,24.0,23.75,23.75
65.21,54.75,40.75,34.5,27.75,24.5,24.0,23.75,23.75
66.05,55.0,40.75,34.5,27.75,24.5,24.0,23.75,23.75
66.89,54.75,40.75,34.5,28.0,24.5,24.0,23.75,23.75
67.73,55.0,40.75,34.5,28.0,24.5,24.0,23.75,23.75
68.57,55.0,40.75,34.5,27.75,24.5,24.0,23.75,23.75
69.41,55.0,40.75,34.5,27.75,24.5,24.25,23.75,23.75
70.25,55.0,40.75,34.5,27.75,24.5,24.0,23.75,23.75
71.09,55.0,40.75,34.5,27.75,24.5,24.25,23.75,23.75
71.93,55.0,40.75,34.5,27.75,24.5,24.0,23.75,23.75
72.77,55.0,40.75,34.5,27.75,24.5,24.25,23.75,23.75
