Time,T0,T1,T2,T3,T4,T5,T6,T7
15.63,48.25,45.5,43.25,40.25,37.75,37.5,36.75,23.5
16.46,48.25,45.5,43.25,40.5,37.75,37.5,36.75,23.5
17.3,48.0,45.5,43.25,40.25,37.75,37.5,36.75,23.5
18.14,48.25,45.5,43.25,40.25,37.75,37.5,36.75,23.5
18.98,48.25,45.5,43.25,40.25,37.75,37.5,36.75,23.5
19.83,48.25,45.5,43.25,40.25,37.75,37.5,36.75,23.5
20.67,48.25,45.5,43.25,40.25,37.75,37.5,36.75,23.5
21.51,48.25,45.5,43.25,40.25,37.75,37.5,36.75,23.5
22.35,48.25,45.5,43.25,40.25,37.75,37.5,36.75,23.5
23.19,48.25,45.5,43.25,40.25,37.75,37.5,36.75,23.5
24.03,48.25,45.5,43.25,40.25,37.75,37.5,36.75,23.5
24.87,48.25,45.5,43.25,40.25,37.75,37.5,36.75,23.5
25.71,48.0,45.5,43.25,40.25,37.75,37.5,36.75,23.5
26.55,48.25,45.5,43.25,40.25,37.75,37.5,36.75,23.5
27.39,48.25,45.5,43.25,40.25,37.75,37.5,36.75,23.5
28.23,48.25,45.5,43.25,40.25,37.75,37.5,36.75,23.5
29.07,48.0,45.5,43.25,40.25,37.75,37.5,36.75,23.5
29.91,48.25,45.5,43.25,40.25,37.75,37.5,36.75,23.5
30.75,48.25,45.5,43.25,40.25,37.75,37.5,36.75,23.5
31.59,48.25,45.5,43.25,40.25,37.5,37.5,36.75,23.5
32.43,48.25,45.5,43.25,40.5,37.75,37.5,36.75,23.5
33.27,48.25,45.5,43.25,40.5,37.75,37.5,36.75,23.5
34.11,48.25,45.75,43.25,40.25,37.75,37.5,36.75,23.25
34.95,48.25,45.75,43.25,40.25,37.75,37.5,36.75,23.25
35.79,48.25,45.5,43.5,40.25,37.75,37.5,36.75,23.25
36.63,48.25,45.5,43.5,40.25,37.75,37.5,36.75,23.25
37.47,48.25,45.5,43.25,40.25,37.75,37.25,36.75,23.25
38.31,48.25,45.5,43.25,40.5,37.75,37.5,36.75,23.25
39.15,48.25,45.5,43.25,40.5,37.75,37.5,36.75,23.25
39.99,48.0,45.5,43.5,40.5,37.75,37.5,36.75,23.25
40.84,48.25,45.5,43.25,40.25,37.75,37.5,36.75,23.25
41.67,48.25,45.5,43.25,40.5,37.75,37.5,36.75,23.25
42.52,48.25,45.75,43.25,40.25,37.75,37.5,36.75,23.25
43.36,48.25,45.5,43.5,40.5,37.75,37.5,36.75,23.5
44.2,48.25,45.5,43.5,40.5,37.75,37.5,36.75,23.25
45.04,48.25,45.5,43.25,40.25,37.75,37.5,36.75,23.5
45.88,48.25,45.5,43.25,40.5,37.75,37.5,36.75,23.5
46.72,48.0,45.5,43.25,40.25,37.75,37.5,36.75,23.5
47.56,48.25,45.5,43.25,40.5,37.75,37.5,36.75,23.5
48.4,48.25,45.5,43.25,40.25,37.75,37.5,36.75,23.5
49.24,48.25,45.5,43.5,40.5,37.75,37.5,36.75,23.5
50.08,48.25,45.5,43.25,40.25,37.75,37.5,36.75,23.5
50.92,48.25,45.5,43.25,40.5,37.75,37.5,36.75,23.5
51.76,48.25,45.5,43.25,40.25,37.75,37.5,36.75,23.5
52.6,48.25,45.5,43.5,40.5,37.75,37.5,36.75,23.5
53.44,48.25,45.5,43.25,40.25,37.75,37.5,36.75,23.5
54.28,48.25,45.5,43.5,40.5,37.75,37.5,36.75,23.5
55.12,48.25,45.5,43.25,40.5,37.75,37.5,36.75,23.5
55.96,48.25,45.5,43.5,40.5,37.75,37.5,36.75,23.5
56.8,48.25,45.5,43.5,40.5,37.75,37.5,36.75,23.5
57.64,48.25,45.75,43.5,40.5,37.75,37.5,36.75,23.5
58.48,48.25,45.5,43.5,40.5,37.75,37.5,36.75,23.5
59.32,48.25,45.5,43.5,40.5,37.75,37.5,36.75,23.5
60.16,48.25,45.75,43.5,40.25,37.75,37.5,36.75,23.5
61.0,48.25,45.75,43.25,40.25,37.75,37.5,36.75,23.5
61.84,48.25,45.75,43.25,40.5,37.75,37.5,36.75,23.5
62.68,48.25,45.5,43.5,40.5,37.75,37.5,36.75,23.5
63.52,48.25,45.5,43.25,40.5,37.75,37.5,36.75,23.5
64.36,48.25,45.5,43.25,40.5,37.75,37.5,36.75,23.5
65.2,48.0,45.5,43.25,40.25,37.75,37.5,36.75,23.5
