Time,T0,T1,T2,T3,T4,T5,T6,T7
8.06,42.25,40.5,40.5,39.75,39.0,37.5,38.0,24.0
8.9,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.0
9.74,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.0
10.58,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.0
11.42,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.0
12.26,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.25
13.1,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.0
13.94,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.25
14.78,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.0
15.63,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.0
16.46,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.0
17.3,42.25,40.75,40.5,40.0,39.0,37.5,38.25,24.0
18.15,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.0
18.99,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.0
19.83,42.25,40.75,40.5,40.0,39.0,37.5,38.0,24.0
20.67,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.0
21.51,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.0
22.35,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.0
23.19,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.0
24.03,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.0
24.87,42.25,40.75,40.5,39.75,39.0,37.5,38.0,24.0
25.71,42.25,40.75,40.5,40.0,39.0,37.5,38.25,24.0
26.55,42.25,40.75,40.5,40.0,39.0,37.5,38.25,24.0
27.39,42.25,40.75,40.5,39.75,39.0,37.5,38.0,24.0
28.23,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.25
29.07,42.25,40.75,40.5,39.75,39.0,37.5,38.0,24.25
29.91,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.25
30.75,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.25
31.59,42.25,40.75,40.5,39.75,39.0,37.5,38.0,24.25
32.43,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.25
33.27,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.25
34.11,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.25
34.95,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.25
35.79,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.25
36.63,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.25
37.47,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.25
38.31,42.25,40.75,40.5,39.75,39.0,37.5,38.0,24.25
39.15,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.25
40.0,42.25,40.75,40.5,39.75,39.0,37.5,38.0,24.0
40.84,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.25
41.68,42.25,40.75,40.5,39.75,39.0,37.5,38.0,24.25
42.52,42.25,40.75,40.5,39.75,38.75,37.5,38.0,24.0
43.36,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.0
44.2,42.25,40.5,40.5,39.75,39.0,37.5,38.25,24.0
45.04,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.0
45.88,42.25,40.75,40.5,39.75,39.0,37.5,38.0,24.0
46.72,42.25,40.75,40.5,39.75,39.0,37.5,38.0,24.0
47.56,42.25,40.75,40.5,39.75,39.0,37.5,38.25,24.0
48.4,42.25,40.75,40.5,39.75,39.0,37.5,38.0,24.0
49.24,42.25,40.75,40.5,39.75,39.0,37.5,38.0,23.75
50.08,42.25,40.5,40.5,39.75,39.0,37.5,38.25,23.75
50.92,42.25,40.5,40.5,39.75,39.0,37.5,38.0,23.75
51.76,42.25,40.75,40.5,39.75,39.0,37.5,38.25,23.75
52.6,42.25,40.75,40.5,39.75,39.0,37.5,38.0,23.75
53.44,42.25,40.75,40.5,39.75,39.0,37.5,38.0,23.75
54.28,42.25,40.75,40.5,39.75,39.0,37.5,38.0,23.75
55.12,42.25,40.75,40.5,39.75,39.0,37.5,38.0,23.75
55.96,42.25,40.75,40.5,39.75,39.0,37.5,38.0,23.75
56.8,42.25,40.75,40.5,39.75,39.0,37.5,38.25,23.75
57.64,42.25,40.75,40.5,40.0,39.0,37.5,38.25,23.75
58.48,42.25,40.75,40.5,39.75,39.0,37.5,38.0,23.75
59.32,42.25,40.75,40.5,39.75,39.0,37.5,38.0,24.0
60.16,42.25,40.75,40.5,40.0,39.0,37.5,38.0,24.0
61.0,42.25,40.75,40.5,39.75,39.0,37.5,38.0,24.0
61.84,42.25,40.75,40.5,39.75,39.0,37.5,38.0,24.0
62.69,42.25,40.75,40.5,39.75,39.0,37.5,38.0,24.0
