time,air,water,specimen
0.5,24.5,97.75,95
1.01,24.25,98,95
1.51,24.25,97.75,95
2,24.5,97.75,95
2.51,24.25,97.75,95
3.01,24.25,98,95
3.5,24.25,98,95
4.01,24.5,98,95
4.51,24.25,98,95
5,24.5,98,95
5.5,24.5,98,94.75
6.01,24.5,98,95
6.5,24.25,98,95
7,24.5,98,94.75
7.51,24.5,98,95
8,24.25,98,94.75
8.5,24.25,98,94.75
9.01,24.5,98,94.75
9.5,24.25,98,94.75
10,24.25,98,94.75
10.5,24.25,98,94.75
11,24.25,98,94.75
11.5,24.25,98,94.75
12,24.25,98,94.75
12.5,24.25,98,94.5
13,24.25,98,94.75
13.5,24.25,98,94.75
14,24.25,98,94.5
14.5,24.25,98.25,94.5
15,24.25,98.25,94.5
15.5,24.25,98,94.5
16,24.25,98,94.5
16.5,24.25,98,94.5
16.99,24.25,98,94.5
17.5,24.25,98,94.5
18,24.25,98,94.25
18.49,24.25,98,94.25
19,24.25,98.25,94.5
19.5,24.25,98,94.5
19.99,24.25,98,94.25
20.5,24.25,98,94.25
21,24.25,98,94.25
21.49,24.25,98,94.25
21.99,24.25,98,94.25
22.5,24.25,98,94.25
22.99,24.25,98,94.25
23.49,24.25,98,94.25
24,24.25,98,94.25
24.49,24.25,98,94.25
24.99,24.25,98,94.25
25.5,24.25,98,94.25
25.99,24.25,98,94
26.49,24.25,98,94
27,24.25,98,94
27.49,24.25,97.75,94
27.99,24.25,97.75,94
28.49,24.25,97.75,94
28.99,24.25,97.75,94
29.49,24.25,97.75,94
29.99,24.25,97.75,94
30.49,24.25,97.75,93.75
30.99,24.25,97.75,93.75
31.49,24,97.75,94
31.99,24.25,97.75,93.75
32.49,24,97.75,94
32.99,24.25,97.75,93.75
33.49,24.25,97.75,93.75
33.99,24.25,97.75,93.75
34.49,24.25,97.75,93.75
34.98,24.25,97.75,93.75
35.49,24.25,97.75,93.75
35.99,24.25,97.75,93.75
36.48,24.25,97.75,93.75
36.99,24.25,97.75,93.75
37.49,24.25,97.75,93.5
37.98,24.25,97.75,93.5
38.49,24.25,97.75,93.5
38.99,24.25,97.75,93.5
39.48,24.25,97.75,93.5
39.98,24.25,97.75,93.5
40.49,24.25,97.5,93.5
40.98,24.25,97.5,93.5
41.48,24.25,97.5,93.5
41.99,24.25,97.5,93.5
42.48,24.25,97.5,93.25
42.98,24.25,97.5,93.5
43.49,24.25,97.5,93.5
43.98,24.25,97.5,93.5
44.48,24.25,97.5,93.5
44.98,24,97.5,93.25
45.48,24.25,97.5,93.25
45.98,24.25,97.5,93.25
46.48,24.25,97.5,93.25
46.98,24.25,97.5,93.25
47.48,24.25,97.5,93.25
47.98,24.25,97.5,93.25
48.48,24.25,97.5,93.25
48.98,24.25,97.5,93.25
49.48,24.25,97.25,93.25
49.98,24.25,97.25,93.25
50.48,24.25,97.25,93
50.98,24.25,97.25,93
51.47,24,97.25,93
51.98,24,96.5,93
52.48,24,93,93
52.97,24,90.75,93
53.48,24,88,93
53.98,24,85.75,93
54.47,24.25,84.5,93
54.98,24,83.75,93
55.48,24,83.25,93
