time,air,water,specimen
0.5,23.5,97.75,95
1,23.5,97.75,95
1.5,23.5,97.75,95
2,23.5,97.75,95
2.5,23.5,97.75,94.75
3,23.5,97.75,94.75
3.5,23.5,97.75,94.75
3.99,23.5,97.75,94.75
4.5,23.5,97.75,94.75
5,23.5,97.75,94.75
5.49,23.5,97.75,94.5
6,23.5,97.75,94.5
6.5,23.5,97.75,94.5
6.99,23.5,97.75,94.5
7.5,23.5,97.75,94.5
8,23.5,97.75,94.5
8.49,23.5,97.75,94.5
8.99,23.5,97.75,94.5
9.5,23.5,97.75,94.5
9.99,23.5,97.5,94.5
10.49,23.5,97.5,94.5
11,23.5,97.5,94.5
11.49,23.5,97.5,94.25
11.99,23.5,97.75,94.25
12.5,23.5,97.5,94.25
12.99,23.5,97.5,94.25
13.49,23.5,97.5,94.25
13.99,23.5,97.5,94.25
14.49,23.5,97.5,94.25
14.99,23.5,97.5,94.25
15.49,23.5,97.5,94.25
15.99,23.5,97.5,94.25
16.49,23.5,97.5,94.25
16.99,23.5,97.5,94
17.49,23.5,97.5,94
17.99,23.5,97.5,94
18.49,23.5,97.5,94
18.99,23.5,97.5,94
19.49,23.5,97.5,94
19.99,23.5,97.5,94
20.48,23.5,97.5,94
20.99,23.5,97.5,94
21.49,23.5,97.5,94
21.98,23.5,97.5,94
22.49,23.5,97.5,94
22.99,23.5,97.5,93.75
23.48,23.5,97.5,94
23.99,23.5,97.5,93.75
24.49,23.5,97.5,93.75
24.98,23.5,97.5,93.75
25.49,23.5,97.5,93.75
25.99,23.5,97.5,93.75
26.48,23.25,97.5,93.75
26.98,23.5,97.5,93.75
27.49,23.25,97.5,93.75
27.98,23.5,97.25,93.75
28.48,23.25,97.25,93.75
28.99,23.5,97.25,93.75
29.48,23.25,97.25,93.75
29.98,23.25,97.5,93.75
30.49,23.25,97.5,93.75
30.98,23.25,97.5,93.75
31.48,23.25,97.5,93.75
31.98,23.25,97.25,93.75
32.48,23.25,97.25,93.75
32.98,23.25,97.25,93.5
33.48,23.5,97.25,93.5
33.98,23.25,97.25,93.5
34.48,23.25,97.25,93.5
34.98,23.25,97.25,93.5
35.48,23.5,97.25,93.5
35.98,23.5,97.25,93.5
36.48,23.5,97.25,93.5
36.97,23.5,97.25,93.5
37.48,23.5,97.25,93.5
37.98,23.5,97.25,93.5
38.47,23.5,97.25,93.5
38.98,23.5,97.25,93.5
39.48,23.5,97.25,93.5
39.97,23.75,97.25,93.5
40.48,23.5,97.25,93.5
40.98,23.5,97.25,93.5
41.47,23.75,97.25,93.5
41.97,23.5,97.25,93.5
42.48,23.5,97.25,93.25
42.97,23.75,97.25,93.5
43.47,23.5,97.25,93.5
43.98,23.5,97.25,93.25
44.47,23.5,97,93.25
44.97,23.5,97,93.25
45.48,23.5,97.25,93.25
45.97,23.5,97,93.25
46.47,23.5,97.25,93.25
46.97,23.5,97.25,93.25
47.47,23.5,97,93.25
47.97,23.5,97,93.25
48.47,23.5,97.25,93.25
48.97,23.5,97,93.25
49.47,23.5,97,93.25
49.97,23.5,97,93.25
50.47,23.5,97,93.25
50.97,23.5,97,93.25
51.47,23.5,97,93.25
51.97,23.5,97,93.25
52.47,23.5,97,93.25
52.97,23.5,97,93.25
53.47,23.5,97,93
53.97,23.5,97,93
54.47,23.5,97,93.25
54.97,23.5,97,93
55.47,23.5,97,93
55.97,23.5,97,93
56.47,23.5,97,93
56.97,23.5,97,93
57.47,23.5,97,93
57.96,23.25,97,93
58.47,23.25,97,93
58.97,23.5,97,93
59.46,23.5,97,93
59.97,23.5,96.75,93
60.47,23.5,97,93
60.96,23.5,97,93
61.46,23.25,96.75,93
61.97,23.5,96.75,92.75
62.46,23.25,96.75,93
62.96,23.5,96.75,93
63.47,23.25,97,92.75
63.96,23.5,96.75,93
64.46,23.5,96.75,92.75
64.97,23.5,96.75,92.75
65.46,23.5,96.75,92.75
65.96,23.5,96.75,92.75
66.46,23.5,96.75,92.75
66.96,23.25,96.75,92.75
67.46,23.25,96.75,92.75
67.96,23.25,96.75,92.75
68.46,23.25,96.75,92.75
68.96,23.25,96.75,92.75
69.46,23.25,96.75,92.75
69.96,23.25,96.75,92.75
70.46,23.25,96.75,92.75
70.96,23.25,96.75,92.75
71.46,23.25,96.75,92.75
71.96,23.25,96.75,92.75
72.46,23.25,96.75,92.5
72.96,23.25,96.75,92.75
73.46,23.25,96.75,92.5
73.96,23.25,96.75,92.75
74.45,23.25,96.75,92.75
74.96,23.25,96.75,92.5
75.46,23.25,96.75,92.5
75.95,23.25,96.75,92.5
76.46,23.25,96.5,92.5
76.96,23.25,96.75,92.5
77.45,23.25,96.75,92.5
77.96,23.25,96.75,92.5
78.46,23.25,96.5,92.5
78.95,23.25,96.5,92.5
79.45,23.25,96.75,92.5
79.96,23.25,96.5,92.5
80.45,23.25,96.5,92.5
80.95,23.25,96.5,92.5
81.46,23.25,96.5,92.5
81.95,23.25,96.5,92.5
82.45,23.25,96.5,92.5
82.96,23.25,96.5,92.5
83.45,23.25,96.5,92.25
83.95,23.25,96.5,92.5
84.46,23.25,96.5,92.5
84.95,23.25,96.5,92.25
85.45,23.25,96.5,92.25
85.95,23.25,96.5,92.25
86.45,23.25,96.5,92.25
86.95,23.25,96.5,92.25
87.45,23.25,96.5,92.25
87.95,23.25,96.5,92.25
88.45,23.25,96.5,92.25
88.95,23.5,96.5,92.25
89.45,23.25,96.5,92.25
89.95,23.25,96.5,92.25
90.45,23.25,96.5,92.25
90.95,23.25,96.5,92.25
91.45,23.25,96.5,92.25
91.95,23.25,96.5,92.25
92.44,23.25,96.25,92.25
92.95,23.25,96.5,92
93.45,23,96.5,92.25
93.94,23.25,96.5,92
94.45,23.25,96.5,92.25
94.95,23.25,96.5,92.25
95.44,23.25,96.25,92.25
95.95,23,96.25,92
96.45,23,96.5,92
96.94,23.25,96.25,92
97.44,23,96.5,92
97.95,23,96.5,92
98.44,23,96.25,92
98.94,23,96.25,92
99.45,23.25,96.25,92
99.94,23,96.25,92
100.44,23.25,96.25,92
100.95,23.25,96.25,92
101.44,23.25,96.25,92
101.94,23.25,96.25,92
102.44,23.25,96.25,92
102.94,23.25,96.25,91.75
103.44,23.25,96.25,92
103.94,23.25,96.25,92
104.44,23.25,96.25,92
104.94,23.25,96.25,92
105.44,23.25,96.25,91.75
105.94,23.25,96.25,92
106.44,23.25,96.25,92
106.94,23.25,96.25,91.75
107.43,23.25,96.25,91.75
107.94,23.25,96.25,91.75
108.44,23.25,96.25,91.75
108.93,23.25,96.25,91.75
109.44,23.25,96.25,91.75
109.94,23.25,96.25,91.75
110.43,23.25,96.25,91.75
110.94,23.25,96.25,91.75
111.44,23.5,96.25,91.75
111.93,23.5,96.25,91.75
112.43,23.5,96.25,91.75
112.94,23.5,96,91.75
113.43,23.5,96,91.75
113.93,23.5,96.25,91.5
114.44,23.5,96.25,91.75
114.93,23.5,96,91.75
115.43,23.5,96,91.5
115.94,23.5,96,91.75
116.43,23.5,96,91.5
116.93,23.5,96,91.5
117.44,23.5,96.25,91.5
