time,air,water,specimen
0.5,23.5,96.75,95
1,23.5,96.75,95
1.49,23.5,96.75,95
2,23.5,96.75,94.75
2.5,23.5,96.75,94.75
2.99,23.5,96.75,94.75
3.5,23.5,96.75,94.75
4,23.5,96.75,94.75
4.49,23.5,96.75,94.75
4.99,23.5,96.75,94.75
5.5,23.5,96.75,94.75
5.99,23.5,97,94.75
6.49,23.5,97,94.75
7,23.5,97,94.75
7.49,23.5,97,94.75
7.99,23.5,97,94.75
8.5,23.5,97.25,94.75
8.99,23.5,97.25,94.5
9.49,23.5,97.25,94.5
9.99,23.75,97.25,94.5
10.49,23.75,97.25,94.5
10.99,23.75,97.25,94.5
11.5,23.75,97.25,94.5
11.99,23.75,97.25,94.5
12.49,23.75,97.25,94.5
12.99,23.75,97.25,94.5
13.49,23.75,97.25,94.5
13.99,23.75,97.5,94.5
14.49,23.75,97.5,94.25
14.99,23.75,97.5,94.25
15.49,23.5,97.5,94.25
15.99,23.5,97.5,94.25
16.49,23.75,97.5,94.25
16.99,23.75,97.5,94.25
17.49,23.5,97.5,94.25
17.99,23.75,97.5,94.25
18.49,23.5,97.5,94.25
18.99,23.75,97.5,94.25
19.49,23.5,97.5,94
19.99,23.5,97.5,94.25
20.49,23.5,97.5,94
20.98,23.5,97.5,94
21.49,23.5,97.25,94
21.99,23.5,97.25,94
22.48,23.5,97.25,94
22.99,23.5,97.25,94
23.49,23.5,97.25,94
23.98,23.5,97.25,94
24.49,23.5,97.25,94
24.99,23.5,97.25,94
25.48,23.5,97.25,94
25.98,23.5,97.25,93.75
26.49,23.5,97.25,93.75
26.98,23.5,97,93.75
27.48,23.5,97,93.75
27.99,23.5,97,93.75
28.48,23.5,97.25,93.75
28.98,23.25,97,93.75
29.49,23.5,97,93.75
29.98,23.5,97,93.5
30.48,23.5,97,93.75
30.99,23.5,97,93.5
31.48,23.5,97,93.5
31.98,23.5,97.25,93.5
32.49,23.5,97.25,93.5
32.98,23.5,97.25,93.5
33.48,23.5,97.25,93.5
33.98,23.5,97.25,93.25
34.48,23.5,97.25,93.5
34.98,23.5,97.25,93.5
35.48,23.5,97.25,93.25
35.98,23.5,97.25,93.25
36.48,23.5,97.25,93.25
36.98,23.5,97.5,93.5
37.48,23.5,97.5,93.25
37.98,23.5,97.5,93.25
38.48,23.5,97.5,93.25
38.98,23.5,97.5,93.25
39.48,23.5,97.5,93
39.98,23.5,97.5,93.25
40.48,23.5,97.5,93.25
40.98,23.5,97.5,93
41.48,23.5,97.5,93
41.97,23.5,97.5,93
42.48,23.5,97.5,93
42.98,23.5,97.75,93
43.47,23.5,97.5,93
43.98,23.5,97.75,93
44.48,23.5,97.5,93
44.97,23.5,97.5,92.75
45.48,23.5,97.5,93
45.98,23.25,97.5,92.75
46.47,23.5,97.5,92.75
46.98,23.5,97.5,92.75
47.48,23.5,97.5,92.75
47.97,23.25,97.75,92.75
48.47,23.5,97.5,92.5
48.98,23.5,97.5,92.75
49.47,23.25,97.75,92.75
49.97,23.5,97.5,92.5
50.48,23.5,97.75,92.5
50.97,23.5,97.5,92.5
51.47,23.5,97.5,92.5
51.98,23.5,97.5,92.5
52.47,23.5,97.5,92.5
52.97,23.5,97.75,92.5
53.47,23.5,97.5,92.5
53.97,23.5,97.5,92.5
54.47,23.5,97.5,92.5
54.97,23.5,97.5,92.5
55.47,23.5,97.5,92.5
55.97,23.5,97.5,92.25
56.47,23.5,97.5,92.25
